PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,piece_count,pawn_count,what_mate,white_pieces,black_pieces
3MF5J,2B5/8/8/4k3/6Q1/3K4/1b6/7q w - - 4 59,f4e5 g4e6 e5f4 e6e3,2597,107,88,1239,endgame mate mateIn2 short,https://lichess.org/qnPWnORA/black#115,,6,0,2,3,3
hX2be,2rk4/1R6/1P1pK3/8/8/8/7b/8 w - - 5 47,e5h2 b7g7 d6d5 g7g8,2365,75,93,1049,endgame mate mateIn2 quietMove short,https://lichess.org/BQMPLtbV/black#91,,7,2,2,3,4
rRPBO,8/4R1P1/5k2/5N2/6K1/8/1q6/8 w - - 3 66,f7f6 g7g8n f6g6 f5h4,2357,89,87,1657,advancedPawn endgame mate mateIn2 promotion short underPromotion,https://lichess.org/IUORYErn/black#129,,6,1,2,4,2
wKaoq,8/4k1B1/1R2P2p/4K3/8/8/b6r/8 w - - 2 39,d5a2 g7f6 e7f8 b6b8,2073,75,93,7382,endgame mate mateIn2 short,https://lichess.org/mdvdIsia/black#75,,8,2,2,4,4
EWfQp,2b3k1/R7/8/3N4/5B2/1r6/5K1n/8 w - - 0 44,b8b3 d5f6 g8h8 a7h7,2048,78,92,6368,arabianMate endgame mate mateIn2 short,https://lichess.org/IW5FDNzp/black#85,,8,0,2,4,4
OEHzn,2k5/7R/1PN3p1/2n5/6r1/8/8/4K3 w - - 0 37,g2g4 h7c7,1981,76,93,2954,endgame mate mateIn1 oneMove,https://lichess.org/LCUqTc17/black#71,,8,2,1,4,4
7uSfd,8/8/8/8/8/6Qp/7K/2n1rk2 w - - 7 58,f2f1 g3f3,1947,82,87,1107,endgame mate mateIn1 oneMove,https://lichess.org/8jnPlFjH/black#113,,6,1,1,2,4
bGhrk,8/8/8/2K2p2/1R1N1rr1/k7/2P5/8 w - - 4 55,a4a3 d4b5 a3a2 b5c3 a2a1 b4b1,1936,77,92,3823,arabianMate endgame long mate mateIn3,https://lichess.org/JPTGCPDN/black#107,,8,2,3,4,4
mLaDi,6K1/6RP/8/8/6Rr/7k/8/5q2 w - - 0 74,f2f1q g4h4 h3h4 h7h8q,1892,79,75,112,advancedPawn attraction endgame mate mateIn2 promotion queenRookEndgame short,https://lichess.org/ziD4papB/black#145,,7,1,2,4,3
ri8oJ,8/8/3r4/4n3/4R1b1/5kP1/5P2/6K1 w - - 7 52,e2f3 e4e3,1868,76,91,3671,endgame mate mateIn1 oneMove,https://lichess.org/wyQ3uczZ/black#101,,8,2,1,4,4
b6Y8e,8/8/1R6/2kPN3/2p1K3/8/2r5/3r4 w - - 7 47,d6c5 e5d7,1843,77,89,408,endgame mate mateIn1 oneMove,https://lichess.org/WfKwa7Ij/black#91,,8,2,1,4,4
Et5QR,8/5R2/1nkr4/1p6/5p2/1KP5/2N5/8 w - - 3 56,c8b6 c2b4 c6c5 f7c7 d6c6 c7c6,1830,76,90,1306,endgame hookMate long mate mateIn3,https://lichess.org/NKIe1zdX/black#109,,9,3,3,4,5
P6rHA,8/5K2/5N1k/8/4n3/8/6R1/4r3 w - - 0 62,c3e4 g2g6,1829,81,61,120,endgame mate mateIn1 oneMove,https://lichess.org/z0Xe2g5R/black#121,,6,0,1,3,3
03SLJ,8/4RNkP/1r6/6K1/8/8/8/1q6 w - - 2 57,h8g7 h7h8q,1824,77,90,7835,advancedPawn endgame mate mateIn1 oneMove promotion,https://lichess.org/l7BvBZgT/black#111,,7,1,1,4,3
Yh0yd,4B3/8/4pR1p/4K1k1/5p1r/8/8/8 w - - 2 42,g6g5 f6g6 g5h5 g6g1,1821,74,95,2411,discoveredAttack endgame mate mateIn2 short,https://lichess.org/R0CBo5hn/black#81,,8,3,2,3,5
1sCMp,8/8/4R3/1N1k4/1K6/2P2rr1/8/8 w - - 9 55,c6d5 b5c7,1819,117,79,118,endgame mate mateIn1 oneMove,https://lichess.org/ZrtrEVla/black#107,,7,1,1,4,3
DjE0c,4k3/8/3K4/2pN4/2r2R2/8/3n4/8 w - - 0 47,c3c4 d5c7 e8d8 f4f8,1817,257,43,11,endgame master mate mateIn2 short,https://lichess.org/e2IdKpNG/black#91,,7,1,2,3,4
fqNsc,6k1/4n1P1/5K1P/5R2/8/8/4r3/8 w - - 5 61,g6e7 h6h7 g8h7 f5h5 h7g8 h5h8,1802,76,92,500,advancedPawn attraction endgame exposedKing long mate mateIn3,https://lichess.org/TnahQody/black#119,,7,2,3,4,3
3kzrA,6k1/2R3p1/6N1/5P2/4b1r1/4K2p/8/8 w - - 2 47,h1e4 c7c8 g8f7 c8f8,1782,79,88,1604,endgame hookMate mate mateIn2 short,https://lichess.org/YI0HuP6n/black#91,,9,3,2,4,5
7V4k3,8/k7/1R5p/2N2K2/2N5/8/2r4r/8 w - - 9 60,b8a7 b6b7 a7a8 c4b6,1744,76,93,694,endgame mate mateIn2 short,https://lichess.org/mFiRzg5I/black#117,,8,1,2,4,4
fECYm,4k3/1R6/4NK2/6p1/8/8/8/7q w - - 0 55,h2h1q b7e7,1742,76,91,5025,endgame master mate mateIn1 oneMove,https://lichess.org/WvIFng5x/black#107,,6,1,1,3,3
yon3S,8/8/4K3/8/5Rr1/6r1/6k1/5R2 w - - 1 61,g5g4 f4f2 g2h3 f1h1,1720,76,86,443,endgame mate mateIn2 rookEndgame short,https://lichess.org/SbEWdjmV/black#119,,6,0,2,3,3
yLpKt,8/7n/7k/r3Np2/3N1K2/1Bp5/8/8 w - - 0 85,g6h6 d4f5 h6h5 b3f7,1692,93,93,36,endgame mate mateIn2 short,https://lichess.org/AeIqbGxu/black#167,,9,2,2,4,5
Ndq16,8/3R3p/8/8/8/4nNK1/4k3/7r w - - 11 63,d3e2 d7d2 e2f1 d2f2,1688,74,86,139,endgame mate mateIn2 short,https://lichess.org/xaMrpiVG/black#123,,7,1,2,3,4
z7VN3,8/R7/5k2/7P/5K2/p6r/B7/3b4 w - - 4 58,g3h3 a7f7,1674,76,96,5359,endgame mate mateIn1 oneMove,https://lichess.org/7GzRw6M2/black#113,,8,2,1,4,4
q60mt,8/3R4/7k/6p1/6r1/6r1/5K2/R7 w - - 0 55,g6g5 a1a6 h6h5 d7h7,1672,75,96,15911,endgame mate mateIn2 rookEndgame short,https://lichess.org/l7UXf8dd/black#107,,7,1,2,3,4
N9Vvv,8/4Q3/4K1k1/4R3/8/8/8/5r1q w - - 8 70,h7g6 e5g5 g6h6 e7g7,1660,149,76,30,endgame mate mateIn2 short,https://lichess.org/eHggIpRJ/black#137,,6,0,2,3,3
hhcN0,4rk2/1R3p2/5P2/4N3/3K4/1p6/b7/8 w - - 0 48,b4b3 b7f7 f8g8 f7g7 g8h8 e5g6,1651,75,90,1467,endgame long mate mateIn3,https://lichess.org/OI7ZoCjd/black#93,,9,3,3,4,5
HKz8p,5R2/1p1r2p1/6R1/7k/2K2P2/3r4/8/8 w - - 2 47,h4h5 g6g5 h5h6 f8h8,1651,76,96,19952,endgame mate mateIn2 rookEndgame short,https://lichess.org/aVct9KMX/black#91,,9,3,2,4,5
yw2OC,4k3/1R6/2KPP3/1p6/4n3/3r4/8/8 w - - 1 59,c3e4 b7b8,1648,81,74,273,endgame mate mateIn1 oneMove,https://lichess.org/T5ra65Zu/black#115,,8,3,1,4,4
